Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
NQU6.CME@RITHMIC,27648.5,27500 ZG,#000000,#FFD600,Right,1,true
NQU6.CME@RITHMIC,27748.5,27600 PW,#000000,#FF1744,Right,1,true
NQU6.CME@RITHMIC,27948.5,27800 VT-C,#000000,#00B8D4,Right,1,true
NQU6.CME@RITHMIC,28148.5,28000 LG,#000000,#FF9100,Right,1,true
NQU6.CME@RITHMIC,28238.5,28090 CW+CB,#000000,#00C853,Right,1,true
NQU6.CME@RITHMIC,27563.25,667 ZG,#000000,#FFD600,Right,1,true
NQU6.CME@RITHMIC,27687.25,670 PW,#000000,#FF1744,Right,1,true
NQU6.CME@RITHMIC,28100.5,680 VT-C,#000000,#00B8D4,Right,1,true
NQU6.CME@RITHMIC,28307.25,685 CW+LG+CB,#000000,#00C853,Right,1,true
